"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 17 02:28:22 UTC 2023","Fri Nov 17 02:28:38 UTC 2023","15764","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Fri Nov 17 02:27:06 UTC 2023","Fri Nov 17 02:27:29 UTC 2023","22412","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Nov 17 02:40:20 UTC 2023","Fri Nov 17 02:40:21 UTC 2023","419","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Nov 17 02:42:53 UTC 2023","Fri Nov 17 02:42:59 UTC 2023","6203","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Nov 17 02:45:20 UTC 2023","Fri Nov 17 02:46:13 UTC 2023","53403","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Nov 17 03:02:55 UTC 2023","Fri Nov 17 03:03:06 UTC 2023","11274","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Fri Nov 17 03:49:25 UTC 2023","Fri Nov 17 03:49:32 UTC 2023","7032","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Fri Nov 17 02:38:45 UTC 2023","Fri Nov 17 02:38:51 UTC 2023","6202","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Fri Nov 17 03:52:25 UTC 2023","Fri Nov 17 03:52:28 UTC 2023","3608","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Fri Nov 17 02:36:10 UTC 2023","Fri Nov 17 02:36:10 UTC 2023","225","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
